quote_type,quote_date,price_brl,variation_day,variation_month,price_usd
arabica,1996-09-02,123.09,,,121.15
arabica,1996-09-03,119.68,-2.77,,117.69
arabica,1996-09-04,119.39,-0.24,,117.44
arabica,1996-09-05,118.42,-0.81,,116.38
arabica,1996-09-06,118.09,-0.28,,115.98
arabica,1996-09-09,117.30,-0.67,,115.11
arabica,1996-09-10,116.84,-0.39,,114.71
arabica,1996-09-11,114.00,-2.43,,111.94
arabica,1996-09-12,115.76,1.54,,113.46
arabica,1996-09-13,115.97,0.18,,113.84
arabica,1996-09-16,116.40,0.37,,114.27
arabica,1996-09-17,118.07,1.43,,115.86
arabica,1996-09-18,117.29,-0.66,,115.09
arabica,1996-09-19,115.93,-1.16,,113.76
arabica,1996-09-20,115.56,-0.32,,113.35
arabica,1996-09-23,115.85,0.25,,113.63
arabica,1996-09-24,116.28,0.37,,114.04
arabica,1996-09-25,116.21,-0.06,,113.90
arabica,1996-09-26,115.52,-0.59,,113.23
arabica,1996-09-27,115.10,-0.36,,112.77
arabica,1996-09-30,112.45,-2.30,,110.13
arabica,1996-10-01,113.83,1.23,1.23,111.48
arabica,1996-10-02,114.21,0.33,1.57,111.85
arabica,1996-10-04,116.52,2.02,3.62,114.00
arabica,1996-10-07,119.45,2.51,6.22,116.87
arabica,1996-10-08,118.95,-0.42,5.78,116.35
arabica,1996-10-09,119.67,0.61,6.42,116.91
arabica,1996-10-10,118.97,-0.58,5.80,116.16
arabica,1996-10-11,119.41,0.37,6.19,116.50
arabica,1996-10-14,117.42,-1.67,4.42,114.60
arabica,1996-10-15,117.02,-0.34,4.06,114.21
arabica,1996-10-16,115.75,-1.09,2.93,112.96
arabica,1996-10-17,114.31,-1.24,1.65,111.57
arabica,1996-10-18,113.48,-0.73,0.92,110.76
arabica,1996-10-21,115.35,1.65,2.58,112.57
arabica,1996-10-22,119.32,3.44,6.11,116.09
arabica,1996-10-23,118.83,-0.41,5.67,115.82
arabica,1996-10-24,116.22,-2.20,3.35,113.32
arabica,1996-10-25,115.09,-0.97,2.35,112.02
arabica,1996-10-28,116.12,0.89,3.26,112.79
arabica,1996-10-29,115.68,-0.38,2.87,112.56
arabica,1996-10-30,115.83,0.13,3.01,112.77
arabica,1996-10-31,116.18,0.30,3.32,112.99
arabica,1996-11-01,116.39,0.18,0.18,113.28
arabica,1996-11-04,116.63,0.21,0.39,113.50
arabica,1996-11-05,117.24,0.52,0.91,114.08
arabica,1996-11-06,119.25,1.71,2.64,116.05
arabica,1996-11-07,119.71,0.39,3.04,116.38
arabica,1996-11-08,119.13,-0.48,2.54,115.68
arabica,1996-11-11,115.92,-2.69,-0.22,112.58
arabica,1996-11-12,117.33,1.22,0.99,113.88
arabica,1996-11-13,119.88,2.17,3.18,116.36
arabica,1996-11-14,120.84,0.80,4.01,117.26
arabica,1996-11-18,120.30,-0.45,3.55,116.75
arabica,1996-11-19,121.39,0.91,4.48,117.86
arabica,1996-11-20,122.86,1.21,5.75,119.21
arabica,1996-11-21,119.71,-2.56,3.04,116.13
arabica,1996-11-22,120.34,0.53,3.58,116.75
arabica,1996-11-25,119.49,-0.71,2.85,115.91
arabica,1996-11-26,119.96,0.39,3.25,116.28
arabica,1996-11-27,119.97,0.01,3.26,116.23
arabica,1996-11-28,119.77,-0.17,3.09,115.98
arabica,1996-11-29,118.58,-0.99,2.07,114.82
arabica,1996-12-02,117.87,-0.60,-0.60,114.15
arabica,1996-12-03,119.21,1.14,0.53,115.44
arabica,1996-12-04,119.40,0.16,0.69,115.52
arabica,1996-12-05,119.58,0.15,0.84,115.58
arabica,1996-12-06,119.58,0.00,0.84,115.58
arabica,1996-12-09,120.73,0.96,1.81,116.68
arabica,1996-12-10,121.72,0.82,2.65,117.49
arabica,1996-12-11,122.45,0.60,3.26,118.13
arabica,1996-12-12,123.81,1.11,4.41,119.27
arabica,1996-12-13,125.97,1.74,6.23,121.38
arabica,1996-12-16,126.52,0.44,6.70,121.78
arabica,1996-12-17,128.27,1.38,8.17,123.34
arabica,1996-12-18,131.96,2.88,11.28,127.11
arabica,1996-12-19,130.55,-1.07,10.09,125.77
arabica,1996-12-20,131.33,0.60,10.75,126.51
arabica,1996-12-23,130.38,-0.72,9.95,125.53
arabica,1996-12-26,132.94,1.96,12.11,127.98
arabica,1996-12-27,136.43,2.63,15.05,131.16
arabica,1996-12-30,137.62,0.87,16.06,132.47
arabica,1997-01-02,138.65,0.75,0.75,133.41
arabica,1997-01-03,141.29,1.90,2.67,135.90
arabica,1997-01-06,140.07,-0.86,1.78,134.66
arabica,1997-01-07,144.49,3.16,4.99,138.92
arabica,1997-01-08,148.71,2.92,8.06,142.88
arabica,1997-01-09,151.82,2.09,10.32,145.81
arabica,1997-01-10,152.41,0.39,10.75,146.42
arabica,1997-01-13,151.88,-0.35,10.36,145.80
arabica,1997-01-14,154.98,2.04,12.61,148.75
arabica,1997-01-15,156.80,1.17,13.94,150.45
arabica,1997-01-16,157.64,0.54,14.55,151.07
arabica,1997-01-17,158.60,0.61,15.24,151.94
arabica,1997-01-20,161.18,1.63,17.12,154.54
arabica,1997-01-21,162.13,0.59,17.81,155.43
arabica,1997-01-22,171.66,5.88,24.73,164.52
arabica,1997-01-23,178.99,4.27,30.06,171.50
arabica,1997-01-24,175.42,-1.99,27.47,168.08
arabica,1997-01-27,171.18,-2.42,24.39,164.00
arabica,1997-01-28,172.39,0.71,25.27,165.24
arabica,1997-01-29,180.27,4.57,30.99,172.43
arabica,1997-01-30,173.41,-3.81,26.01,165.88
arabica,1997-01-31,170.86,-1.47,24.15,163.36
arabica,1997-02-03,174.24,1.98,1.98,166.72
arabica,1997-02-04,178.10,2.22,4.24,170.25
arabica,1997-02-05,174.82,-1.84,2.32,167.00
arabica,1997-02-06,179.14,2.47,4.85,171.10
arabica,1997-02-07,180.34,0.67,5.55,172.20
arabica,1997-02-12,199.28,10.50,16.63,190.22
arabica,1997-02-13,205.31,3.03,20.16,195.78
arabica,1997-02-14,204.90,-0.20,19.92,195.27
arabica,1997-02-17,201.41,-1.70,17.88,192.04
arabica,1997-02-18,192.33,-4.51,12.57,183.31
arabica,1997-02-19,200.19,4.09,17.17,190.63
arabica,1997-02-20,202.13,0.97,18.30,192.46
arabica,1997-02-24,195.59,-3.24,14.47,186.21
arabica,1997-02-25,202.23,3.39,18.36,192.49
arabica,1997-02-26,207.55,2.63,21.47,197.44
arabica,1997-02-27,204.32,-1.56,19.58,194.41
arabica,1997-02-28,206.70,1.16,20.98,196.66
arabica,1997-03-03,212.08,2.60,2.60,201.75
arabica,1997-03-04,218.78,3.16,5.84,208.07
arabica,1997-03-05,227.09,3.80,9.86,215.74
arabica,1997-03-06,223.55,-1.56,8.15,212.36
arabica,1997-03-07,218.56,-2.23,5.74,207.60
arabica,1997-03-10,228.81,4.69,10.70,217.33
arabica,1997-03-11,231.88,1.34,12.18,220.10
